appinst	0
apptools	15
basemap	48
biopython	349
bitarray	42
blist	39
blockcanvas	9
bsdiff4	0
casuarius	21
chaco	63
cloud	5217
codetools	6
configobj	888
coverage	3458
curl	3046
Cython	1228
distribute	18103
docutils	1239
enable	14715
enaml	25
encore	44
enstaller	34
envisage	46
EPD	55
epydoc	582
ets	89
etsdevtools	2
etsproxy	4
feedparser	588
foolscap	16
freetype	93
fwrap	14
GDAL	313
graphcanvas	2
grin	36
h5py	55
hdf5	542
html5lib	513
idle	710
ipython	2154
Jinja2	3161
jsonpickle	34
keyring	229
lib_netcdf4	0
libgdal	34
libjpeg	187
libpng	195
libpython	73
libxml2	610
libxslt	271
libYAML	241
lxml	2570
matplotlib	2094
mayavi	83
MDP	59
mingw	581
MKL	20
netCDF4	18
networkx	356
nose	3415
numexpr	69
numpy	4453
openpyxl	43
pandas	563
paramiko	668
pep8	1317
PIL	3115
ply	271
pyaudio	71
Pycluster	7
pycrypto	702
pydot	97
pyface	175
pyfits	116
pyflakes	628
pygarrayimage	6
pyglet	417
Pygments	1536
pyhdf	3
PyOpenGL	252
pyOpenSSL	556
pyparsing	270
pyproj	76
pyserial	524
PySide	433
pytables	367
Python	137654
python_dateutil	0
PythonDoc	7
pytz	979
pywin32	496
PyYAML	1196
pyzmq	389
Qt	1567
Reportlab	522
scikit_learn	2
scikits.image	53
scikits.timeseries	28
scimath	6
scipy	2219
scite	7
scons	237
Shapely	130
SimPy	37
Sphinx	5935
SQLAlchemy	2618
statsmodels	137
swig	376
sympy	440
tornado	3776
traits	273
traitsui	28
Twisted	3216
VTK	101
wxPython	1188
xlrd	198
xlwt	166
zlib	637
zope.interface	228
